@relation 'participant_frames-weka.filters.unsupervised.attribute.Remove-R11,14-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.NumericToNominal-R13'

@attribute pos_x numeric
@attribute pos_y numeric
@attribute win {0,1}
@attribute creepScore numeric
@attribute currentGold numeric
@attribute dominionScore numeric
@attribute experience numeric
@attribute goldEarned numeric
@attribute level numeric
@attribute neutralMinionsKilled numeric
@attribute teamScore numeric
@attribute timestamp numeric
@attribute match_id {2756265176,2757139247,2757164302,2757334493,2757344038,2757414373,2757417224,2757609008,2757642400,2758041096,2758738837,2759000499,2759024018,2759132098,2759257697,2759613856,2760780298,2760805828,2760983874,2761203040,2761508815,2761535163,2761581064,2762055944,2762618574,2762672413,2762809550,2762963668,2762970456,2763075278,2763080214,2763103230,2763311679,2763479458,2763723582,2763729769,2764594237,2764635104,2765037739,2765041388,2765190575,2765204302,2765274654,2766198879,2766200653,2766207237,2766245793,2766277226,2766317613,2766512763,2766636847,2766642876,2766660805,2767165103,2767223252,2767314058,2767661638,2767929394,2767953131,2768692833,2768712962,2768730195,2768840944,2768846775,2769543405,2769947436,2773183952,2773245307,2773281606,2773350542,2773785286,2773796546,2774329014,2774345053,2774503426,2775672587,2776231566,2776236159,2776372004,2776479368,2776625098,2777096611,2777113081,2777223671,2777227606,2779807654,2780058562,2780207203,2780486208,2780499000,2780514036,2781020595,2781047893,2781080620,2781359891,2781861999,2781987720,2782092079,2782971556,2842707542}

@data
14340,14391,1,0,270,0,556,1120,3,0,0,60.192,2757414373
3742,10166,0,0,0,0,500,500,3,0,0,60.192,2757414373
13201,4397,1,4,132,0,746,632,3,0,0,120.225,2757414373
13564,3939,0,0,1,0,746,501,3,0,0,120.225,2757414373
3752,13582,0,3,99,0,746,599,3,0,0,120.225,2757414373
4174,13306,0,3,101,0,746,601,3,0,0,120.225,2757414373
13379,4078,0,0,108,0,732,608,3,4,0,120.225,2757414373
5195,5680,1,2,277,0,697,777,3,0,0,120.225,2757414373
5510,5542,1,2,369,0,754,869,3,0,0,120.225,2757414373
5167,5691,1,0,431,0,754,1331,3,0,0,120.225,2757414373
5348,5581,0,5,376,0,697,876,3,0,0,120.225,2757414373
4365,4483,1,6,413,0,1417,913,4,0,0,180.257,2757414373
6922,6934,0,0,217,0,1108,717,3,0,0,180.257,2757414373
6655,6196,0,6,411,0,1333,911,4,0,0,180.257,2757414373
5034,4652,0,6,413,0,1283,913,4,0,0,180.257,2757414373
11929,3868,0,10,684,0,1678,1184,4,4,0,180.257,2757414373
7258,9001,1,2,813,0,998,1313,3,0,0,180.257,2757414373
8401,8085,1,2,905,0,1055,1405,3,0,0,180.257,2757414373
8732,8074,1,0,967,0,1055,1867,3,0,0,180.257,2757414373
9954,3345,0,5,962,0,998,1462,3,0,0,180.257,2757414373
1254,6988,1,12,858,0,2120,1359,5,0,0,240.289,2757414373
7127,6895,0,7,697,0,1868,1197,5,0,0,240.289,2757414373
960,8207,0,9,124,0,1770,1224,5,0,0,240.289,2757414373
1355,8222,0,8,698,0,2039,1198,5,0,0,240.289,2757414373
13418,2515,0,20,1332,0,2821,1832,6,8,0,240.289,2757414373
1163,9593,1,2,479,0,1258,1679,4,0,0,240.289,2757414373
1129,9060,1,2,571,0,1356,1771,4,0,0,240.289,2757414373
1289,9266,1,0,533,0,1315,2233,4,0,0,240.289,2757414373
1027,9379,0,8,572,0,1576,1922,4,0,0,240.289,2757414373
1897,2151,1,13,57,0,3056,1907,6,0,0,300.29,2757414373
1395,2527,0,10,449,0,2407,1549,6,0,0,300.29,2757414373
2340,9797,0,16,1410,0,2716,2510,6,0,0,300.29,2757414373
2357,9719,0,11,1999,0,2968,2499,6,0,0,300.29,2757414373
2816,2592,0,27,212,0,3732,2312,7,8,0,300.29,2757414373
7977,8513,1,2,196,0,1607,1896,4,0,0,300.29,2757414373
2264,9891,1,2,788,0,1705,1988,4,0,0,300.29,2757414373
7599,9654,1,0,903,0,1859,2603,5,4,0,300.29,2757414373
5140,9182,0,9,819,0,1925,2169,5,0,0,300.29,2757414373
3069,3728,1,18,473,0,4077,2323,8,0,0,360.291,2757414373
2835,5720,0,15,426,0,3268,1926,7,0,0,360.291,2757414373
2324,9191,0,17,258,0,3150,2758,6,0,0,360.291,2757414373
1482,7530,0,13,317,0,3516,2817,7,0,0,360.291,2757414373
11829,2140,0,31,784,0,4494,2884,8,12,0,360.291,2757414373
13925,14045,1,2,169,0,2027,2219,5,4,0,360.291,2757414373
1412,9372,1,2,449,0,2226,2449,5,0,0,360.291,2757414373
2914,12490,1,0,146,0,2109,2896,5,8,0,360.291,2757414373
1159,9133,0,9,385,0,2440,2385,6,0,0,360.291,2757414373
468,697,1,19,386,0,4398,2671,8,0,0,420.304,2757414373
1189,2899,0,15,393,0,3678,2243,7,0,0,420.304,2757414373
2135,2452,0,20,408,0,4084,3208,8,0,0,420.304,2757414373
1704,2614,0,16,300,0,4033,3235,7,0,0,420.304,2757414373
13633,3920,0,44,1803,0,5844,3903,9,12,0,420.304,2757414373
854,3660,1,4,763,0,2377,2813,5,4,0,420.304,2757414373
1079,3942,1,4,1453,0,3225,3453,7,0,0,420.304,2757414373
1118,3192,1,1,1788,0,2994,4538,6,8,0,420.304,2757414373
1334,3993,0,15,1467,0,3410,3467,7,0,0,420.304,2757414373
1844,841,1,24,108,0,5290,3088,9,0,0,480.335,2757414373
2350,3392,0,20,233,0,4571,2633,8,0,0,480.335,2757414373
5177,4974,0,26,221,0,4860,3621,8,0,0,480.335,2757414373
3590,4764,0,26,879,0,5189,3814,9,0,0,480.335,2757414373
6452,2512,0,50,180,0,6579,4355,10,12,0,480.335,2757414373
13429,7333,1,5,497,0,2934,3097,6,4,0,480.335,2757414373
13991,9070,1,4,169,0,3465,3669,7,0,0,480.335,2757414373
13496,7244,1,4,252,0,3388,4852,7,8,0,480.335,2757414373
14340,14391,0,15,490,0,3830,3790,7,4,0,480.335,2757414373
12494,3280,1,25,357,0,5889,3337,9,0,0,540.354,2757414373
11872,3897,0,25,18,0,5227,3018,9,0,0,540.354,2757414373
10929,1585,0,26,592,0,5492,3992,9,4,0,540.354,2757414373
2532,2033,0,36,1468,0,6156,4403,10,0,0,540.354,2757414373
8606,4506,0,50,536,0,7133,4711,10,20,0,540.354,2757414373
10921,1744,1,7,1322,0,3874,3922,7,4,0,540.354,2757414373
9945,1675,1,5,890,0,4327,4390,8,0,0,540.354,2757414373
12377,2325,1,12,1256,0,4932,5856,8,8,0,540.354,2757414373
10980,4093,0,25,979,0,5140,4579,9,4,0,540.354,2757414373
8002,2152,1,28,912,0,6797,4192,10,0,0,600.387,2757414373
1342,2508,0,34,804,0,6557,3804,10,0,0,600.387,2757414373
7930,2047,0,31,542,0,6057,4542,9,4,0,600.387,2757414373
8549,1690,0,41,890,0,7484,5039,11,0,0,600.387,2757414373
3871,4179,0,54,1205,0,8251,5730,11,20,0,600.387,2757414373
10059,2576,1,9,1956,0,4421,4556,8,4,0,600.387,2757414373
8246,3517,1,6,1472,0,4812,4972,8,0,0,600.387,2757414373
10287,1747,1,17,1964,0,5459,6564,9,8,0,600.387,2757414373
3578,3213,0,25,1491,0,5862,5091,9,4,0,600.387,2757414373
4641,4627,1,37,436,0,7779,4706,11,0,0,660.398,2757414373
4328,4350,0,39,627,0,7631,4227,11,0,0,660.398,2757414373
