colPK,pos_x,pos_y,win,currentGold,goldEarned,neutralMinionsKilled
12821,7221,7363,1,121,4021,0
12822,8492,7718,1,627,4527,0
12823,6119,6390,1,229,4929,0
12824,7184,7526,1,102,1402,0
12825,5023,5396,1,625,5325,0
12826,5862,6416,1,990,5690,0
12827,6524,6372,1,903,6323,0
12828,6379,7043,1,1320,6740,0
12829,3944,4138,1,2099,7519,0
12830,7743,7572,1,414,8014,0
12831,7856,7950,1,855,8455,0
12832,11797,11428,1,1400,1400,0
12833,7134,6339,1,734,9369,0
12834,5318,6151,1,1476,10111,0
12835,5263,4993,1,1962,10597,0
12836,7747,6871,1,591,1826,0
12837,8657,9009,1,178,11028,0
12838,4679,3946,1,246,11496,0
12839,6796,6224,1,736,11986,0
12840,7364,6560,1,1126,12376,0
12841,4214,4713,1,413,13013,0
12842,6942,7545,1,1065,13665,0
12843,2618,3031,1,1492,14092,0
12844,8458,8374,1,717,14567,0
12845,8817,7846,1,607,14957,0
12846,9860,9339,1,1054,15404,0
12847,6624,5688,1,1035,2270,0
12848,3834,3251,1,1960,16310,0
12849,9365,8622,1,95,16795,0
12850,0,0,1,788,17488,0
12851,7135,6077,1,1490,2725,0
12852,6558,5679,1,317,3117,0
12853,7524,6509,1,980,3780,0
12854,8057,7333,1,1540,4340,0
12855,6299,5482,1,199,4849,0
12856,7622,6767,1,596,5246,0
12857,8028,6972,1,167,1402,0
12858,5795,4922,1,1251,5901,0
12859,5896,6142,1,92,6277,0
12860,6450,5534,1,963,7148,0
12861,6262,6813,1,1403,7588,0
12862,11100,10364,1,195,7980,0
12863,7856,7053,1,731,8516,0
12864,7671,7138,1,1177,8962,0
12865,11667,11606,1,1400,1400,0
12866,10405,10799,1,305,10905,0
12867,5358,5109,1,914,11514,0
12868,5036,5414,1,1387,11987,0
12869,7342,7643,1,414,1814,0
12870,7999,8331,1,136,12626,0
12871,4432,4026,1,190,13130,0
12872,7009,7353,1,1076,14016,0
12873,6844,7154,1,1734,14674,0
12874,3957,4624,1,768,15258,0
12875,9164,8386,1,1426,15916,0
12876,8846,8365,1,356,16246,0
12877,8579,8347,1,1090,16980,0
12878,8878,9096,1,1353,17373,0
12879,5427,5792,1,2366,18386,0
12880,6935,6664,1,875,2275,0
12881,4812,5036,1,281,18901,0
12882,9497,8959,1,261,19381,0
12883,0,0,1,246,20346,0
12884,6459,6825,1,1657,3057,0
12885,6035,6478,1,2411,3811,0
12886,6767,6998,1,3171,4571,0
12887,7696,7424,1,3652,5052,0
12888,7230,6927,1,4441,5841,0
12889,7047,7911,1,390,6290,0
12890,7624,7517,1,2,1402,0
12891,11860,11596,1,388,6838,0
12892,8165,7609,1,374,7274,0
12893,6740,6786,1,208,8058,0
12894,7237,6762,1,699,8549,0
12895,6172,5313,1,379,9179,0
12896,7670,7970,1,395,9695,0
12897,7198,7283,1,984,10284,0
12898,1103,1180,0,1400,1400,0
12899,8093,7328,0,931,10881,0
12900,0,0,0,1111,11261,0
12901,6126,6196,0,427,1827,0
12902,6401,6473,0,927,2327,0
12903,6560,6026,0,533,3183,0
12904,7578,7380,0,348,3798,0
12905,6587,7461,0,942,4392,0
12906,5337,4706,0,460,4860,0
12907,1983,2707,0,50,5400,0
12908,2034,2758,0,77,6177,0
12909,4771,4551,0,2,1402,0
12910,2882,2698,0,34,6584,0
12911,1773,2484,0,401,6951,0
12912,4727,4791,0,791,7341,0
12913,8304,8753,0,1354,7904,0
12914,9835,10557,0,15,8565,0
12915,9987,10143,0,898,9448,0
12916,3651,4242,0,393,10343,0
12917,1103,960,1,1400,1400,0
12918,6723,6656,1,682,11532,0
12919,0,0,1,1085,11935,0
12920,6160,5681,1,289,1789,0
12921,6257,5643,1,823,2323,0
12922,5990,6055,1,369,2869,0
12923,6821,6805,1,936,3436,0
12924,6473,6312,1,1649,4149,0
12925,4742,4728,1,814,4814,0
12926,1559,1586,1,10,5310,0
12927,6619,5947,1,778,6078,0
12928,1103,960,1,152,1402,0
12929,1244,1565,1,1235,6535,0
12930,1732,2392,1,275,6875,0
12931,4916,5904,1,925,7525,0
12932,8251,7634,1,1620,8220,0
12933,9806,9299,1,739,8939,0
12934,9947,9623,1,1191,10091,0
12935,8862,8931,1,124,10974,0
12936,894,892,1,1400,1400,0
12937,7088,7752,1,1152,12002,0
12938,0,0,1,1462,12312,0
12939,6065,6506,1,424,1824,0
12940,6564,5879,1,1009,2409,0
12941,6303,5761,1,568,3068,0
12942,936,1060,1,347,3547,0
12943,936,1060,1,1143,4343,0
12944,4229,5265,1,608,4958,0
12945,6337,6824,1,1274,5624,0
12946,2943,2308,1,374,6424,0
12947,4390,4785,1,2,1402,0
12948,6669,6010,1,952,7002,0
12949,3592,4074,1,432,7432,0
12950,4779,5148,1,1302,8302,0
12951,7613,8337,1,2097,9097,0
12952,4551,4203,1,2999,9999,0
12953,936,1060,1,3459,10459,0
12954,936,1060,1,4089,11089,0
12955,764,1070,1,1400,1400,0
12956,7049,6750,1,1086,10536,0
12957,0,0,1,1524,10974,0
12958,6656,5803,1,424,1824,0
12959,6168,6341,1,204,2354,0
12960,4322,4862,1,254,2854,0
12961,6831,6882,1,863,3463,0
12962,6622,7126,1,1442,4042,0
12963,4207,3980,1,154,4454,0
12964,6908,6460,1,892,5192,0
12965,6996,6746,1,1812,6112,0
